"","X","Country","code","infect","nofood","cancer","pop","gdppc","cancerpop","infectpop","nofoodpop","cancer.r.val","infect.r.value","nofood.r.value","gdppcc","infectpopc","cancerpopc","nofoodpopc"
"86",86,"Lesotho",426,12.03088366,0.261880245,1.242788224,1995.575,1195.613483,0.000622772,0.006028781,0.00013123,NA,NA,NA,"MediumLow","High","Medium","High"
"87",87,"Liberia",430,15.10057971,0.517856202,1.535993147,3891.357,332.0179392,0.000394719,0.003880543,0.000133079,NA,NA,NA,"Low","High","Low","High"
"88",88,"Lithuania",440,0.493480362,0.010726561,8.248209199,3123.825,11855.51957,0.00264042,0.000157973,3.43e-06,NA,NA,NA,"MediumHigh","Medium","High","Low"
"89",89,"Luxembourg",442,0.074193449,0.013483882,1.055218314,507.89,104771.8632,0.002077651,0.000146082,2.65e-05,NA,NA,NA,"High","Medium","High","Medium"
"90",90,"Madagascar",450,36.19763185,7.524512321,12.39700676,21151.64,471.9592116,0.000586101,0.001711339,0.000355741,NA,NA,NA,"Low","High","Medium","High"
"91",91,"Malawi",454,72.55758694,3.797286741,10.20512586,14539.609,478.6687301,0.000701884,0.00499034,0.000261168,NA,NA,NA,"Low","High","Medium","High"
"92",92,"Malaysia",458,12.03173395,0.082633645,20.08881585,28208.028,9040.602977,0.000712167,0.000426536,2.93e-06,NA,NA,NA,"MediumHigh","Medium","Medium","Low"
"93",93,"Maldives",462,0.031592132,0.00586167,0.190445117,365.73,7076.662433,0.000520726,8.64e-05,1.6e-05,NA,NA,NA,"MediumHigh","Low","Low","Medium"
"94",94,"Mali",466,63.11883949,8.098423831,6.733039554,15049.352,709.5819337,0.000447397,0.004194123,0.000538124,NA,NA,NA,"Low","High","Low","High"
"95",95,"Malta",470,0.012891384,0.00235771,0.859661017,414.257,21099.51937,0.002075188,3.11e-05,5.69e-06,NA,NA,NA,"High","Low","High","Low"
"96",96,"Mauritania",478,8.798346705,0.642171223,1.28848834,3494.2,1559.645261,0.000368751,0.002517986,0.000183782,NA,NA,NA,"MediumLow","High","Low","High"
"97",97,"Mauritius",480,0.258941802,0.070165537,1.044878189,1247.953,8016.050811,0.000837274,0.000207493,5.62e-05,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"98",98,"Mexico",484,17.37113606,12.20346883,70.51672048,114092.961,9271.392119,0.000618064,0.000152254,0.000106961,NA,NA,NA,"MediumHigh","Medium","Medium","Medium"
"99",99,"Micronesia (Federated States of)",583,0.04996094,0.004919729,0.070048181,102.916,2884.045437,0.000680635,0.000485454,4.78e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"100",100,"Mongolia",496,0.890618025,0.012325085,3.329925498,2719.902,2643.293413,0.001224281,0.000327445,4.53e-06,NA,NA,NA,"MediumLow","Medium","Medium","Low"
"101",101,"Montenegro",499,0.013160543,0.001013676,1.364466796,624.279,6630.025018,0.002185668,2.11e-05,1.62e-06,NA,NA,NA,"MediumHigh","Low","High","Low"
"102",102,"Morocco",504,8.128772237,0.426245217,21.93168114,32343.384,2882.110528,0.000678089,0.000251327,1.32e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"103",103,"Mozambique",508,139.6805739,4.017606031,17.9273607,23531.567,472.6061383,0.000761843,0.005935881,0.000170733,NA,NA,NA,"Low","High","Medium","High"
"104",104,"Myanmar",104,78.49087062,2.902134763,48.10485422,50600.827,819.0563847,0.000950673,0.001551178,5.74e-05,NA,NA,NA,"Low","Medium","Medium","Medium"
"105",105,"Namibia",516,6.65596979,0.244215303,0.864295501,2118.877,5324.601065,0.000407903,0.003141272,0.000115257,NA,NA,NA,"MediumHigh","High","Low","Medium"
"106",106,"Nepal",524,29.96773833,0.919556097,14.37646091,27013.207,602.6977662,0.000532201,0.001109374,3.4e-05,NA,NA,NA,"Low","Medium","Low","Medium"
"107",107,"Netherlands",528,1.638447129,0.381815967,43.95796938,16682.927,50743.81746,0.002634907,9.82e-05,2.29e-05,NA,NA,NA,"High","Low","High","Medium"
"108",108,"New Zealand",554,0.245178851,0.029238486,8.492745146,4370.06,33542.73499,0.001943393,5.61e-05,6.69e-06,NA,NA,NA,"High","Low","High","Low"
"109",109,"Nicaragua",558,1.383870722,0.208763417,3.408768357,5824.058,1503.864116,0.000585291,0.000237613,3.58e-05,NA,NA,NA,"MediumLow","Medium","Medium","Medium"
"110",110,"Niger",562,67.71140031,7.321667421,4.344410338,16464.025,462.8464855,0.000263873,0.004112688,0.000444707,NA,NA,NA,"Low","High","Low","High"
"111",111,"Nigeria",566,764.5287338,50.06540581,68.7300383,158503.203,2292.444775,0.000433619,0.004823428,0.000315864,NA,NA,NA,"MediumLow","High","Low","High"
"112",112,"Norway",578,0.821367772,0.074311152,11.53892347,4885.878,87754.34803,0.002361689,0.000168111,1.52e-05,NA,NA,NA,"High","Medium","High","Medium"
"113",113,"Oman",512,0.278993431,0.032374938,0.822311106,3041.435,18712.5763,0.000270369,9.17e-05,1.06e-05,NA,NA,NA,"High","Low","Low","Medium"
