"","...5","...43","...53","...63","...68"
"168","92","13.951000000000001","19.306999999999999","23.106000000000002","27.795999999999999"
"169","136","19.46","32.161000000000001","49.261000000000003","56.671999999999997"
"170","192","10097.91","10888.245999999999","11261.585999999999","11225.833000000001"
"171","531","150.375","143.88","130.136","149.18799999999999"
"172","212","73.206999999999994","71.105000000000004","70.58","70.876999999999995"
"173","214","6464.2290000000003","7819.2389999999996","9097.2620000000006","9695.1170000000002"
"174","308","99.953000000000003","100.286","104.658","106.227"
"175","312","342.73700000000002","403.73099999999999","402.90300000000002","406.07299999999998"
"176","332","6337.2749999999996","7744.509","9195.2890000000007","9949.3179999999993"
"177","388","2335.5100000000002","2533.7049999999999","2740","2810.4639999999999"
"178","474","339.88099999999997","368.72800000000001","397.19099999999997","394.666"
"179","500","10.787000000000001","9.8480000000000008","4.8419999999999996","4.8949999999999996"
"180","630","3263.1729999999998","3567.6909999999998","3631.8850000000002","3579.8420000000001"
"181","652","3.37","6.3650000000000002","8.5549999999999997","9.234"
"182","659","41.874000000000002","42.076999999999998","46.851999999999997","49.011000000000003"
"183","662","126.246","146.87100000000001","163.40799999999999","174.09200000000001"
"184","663","11.066000000000001","27.32","34.252000000000002","37.582000000000001"
"185","670","104.503","108.04300000000001","108.617","108.26"
"186","534","19.126999999999999","31.164000000000001","33.436","34.165999999999997"
"187","780","1170.296","1254.2","1296.4970000000001","1328.144"
"188","796","9.9740000000000002","16.221","28.181000000000001","32.658000000000001"
"189","850","105.279","107.38800000000001","107.801","106.086"
"190","916","102296.696","124553.726","145950.549","157591.31"
"191","84","164.91800000000001","206.96199999999999","283.798","322.46499999999997"
"192","188","2736.7190000000001","3545.5239999999999","4285.5039999999999","4577.3710000000001"
"193","222","4936.8029999999999","5628.6019999999999","6052.1239999999998","6183.8770000000004"
"194","320","8240.06","10408.486000000001","13096.028","14630.42"
"195","340","4281.1670000000004","5709.01","7458.982","8317.4670000000006"
"196","484","75983.486000000004","91663.29","106005.19899999999","114092.961"
"197","558","3734.3429999999998","4652.1850000000004","5438.692","5824.058"
"198","591","2219.1999999999998","2739.6669999999999","3330.2220000000002","3642.6909999999998"
"199","931","267951.81900000002","322302.31599999999","371804.63500000001","392543.69500000001"
"200","32","30216.284","34828.167999999998","38892.923999999999","40895.750999999997"
"201","68","6179.46","7622.3339999999998","9232.3009999999995","10048.597"
"202","76","135274.08300000001","162019.889","186127.10800000001","195713.63699999999"
"203","152","12257.237999999999","14380.864","16182.713","17062.530999999999"
"204","170","29951.194","36421.438000000002","42647.731","45222.699000000001"
"205","218","9066.1","11455.205","13825.839","15011.114"
"206","238","1.841","2.5009999999999999","2.95","2.9020000000000001"
"207","254","86.435000000000002","137.4","202.97300000000001","232.99600000000001"
"208","328","770.43899999999996","761.298","746.15599999999995","749.43"
"209","600","3676.2060000000001","4776.8379999999997","5824.0950000000003","6248.0169999999998"
"210","604","19772.870999999999","24299.168000000001","27866.14","29027.68"
"211","740","368.63600000000002","441.851","499.46100000000001","529.12599999999998"
"212","858","3011.5189999999998","3224.2750000000001","3321.799","3359.2730000000001"
"213","862","17319.512999999999","21931.087","26432.445","28439.941999999999"
"214","927","18931.905999999999","21668.023000000001","24313.896000000001","26524.746999999999"
"215","36","15663.672","17993.082999999999","20178.543000000001","22154.687000000002"
"216","554","3268.2339999999999","3674.94","4135.3530000000001","4370.0600000000004"
"217","1835","6219.1350000000002","7721.6059999999998","9376.3169999999991","10348.322"
"218","928","5349.5529999999999","6683.2240000000002","8232.1489999999994","9187.9339999999993"
"219","242","711.77","775.428","821.60599999999999","859.81600000000003"
"220","540","155.98500000000001","193.29599999999999","236.441","253.529"
"221","598","4081.0219999999999","5187.0630000000001","6494.902","7310.5119999999997"
"222","90","270.78699999999998","359.27600000000001","469.91800000000001","527.86099999999999"
"223","548","129.989","168.161","209.28200000000001","236.21600000000001"
"224","954","355.291","454.92","498.29599999999999","503.58"
"225","316","116.57599999999999","145.559","158.40600000000001","159.43899999999999"
"226","296","63.988999999999997","77.715999999999994","92.319000000000003","102.93"
"227","584","38.331000000000003","50.454000000000001","55.256999999999998","56.360999999999997"
"228","583","85.641000000000005","107.535","106.13500000000001","102.916"
"229","520","8.5009999999999994","10.625999999999999","9.8480000000000008","10.009"
"230","580","28.719000000000001","45.872","56.546999999999997","53.970999999999997"
"231","585","13.534000000000001","17.158000000000001","19.783999999999999","17.954000000000001"
"232","957","514.29100000000005","583.46199999999999","645.87199999999996","656.80799999999999"
"233","16","39.521000000000001","53.158000000000001","59.557000000000002","56.084000000000003"
"234","184","17.591999999999999","19.105","19.07","18.391999999999999"
"235","258","177.024","218.06399999999999","258.77999999999997","266.44900000000001"
"236","570","2.7130000000000001","2.161","1.6879999999999999","1.6220000000000001"
